3359,695,1476,602=602,695,1476,3359$
8955,2774,3758,5009=2774,3758,5009,8955$
485,482,4834,4877=482,485,4834,4877$
2395,2323,239,2371=239,2323,2371,2395$
8333,8372,835,8376=835,8333,8372,8376$
1825,1851,1845,1829=1825,1829,1845,1851$
8529,888,8537,860=860,888,8529,8537$
972,9695,9142,981=972,981,9142,9695$
1402,324,180,2889=180,324,1402,2889$
566,5225,570,510=510,566,570,5225$
416,416,416,419=416,416,416,419$
7572,7525,7570,759=759,7525,7570,7572$
100,4569,250,114=100,114,250,4569$
998,996,998,9963=996,998,998,9963$
1180,524,8126,2628=524,1180,2628,8126$
2092,389,743,815=389,743,815,2092$
565,563,563,567=563,563,565,567$
9592,9528,954,952=952,954,9528,9592$
5065,7245,471,7454=471,5065,7245,7454$
839,8153,8059,809=809,839,8059,8153$
4985,459,412,440=412,440,459,4985$
1951,113,129,1523=113,129,1523,1951$
271,230,2146,2030=230,271,2030,2146$
7178,712,7119,7146=712,7119,7146,7178$
919,9342,964,6337=919,964,6337,9342$
209,2080,203,2034=203,209,2034,2080$
944,9435,940,947=940,944,947,9435$
9737,4517,9646,8814=4517,8814,9646,9737$
118,119,111,113=111,113,118,119$
1131,851,277,9929=277,851,1131,9929$
9760,375,7850,540=375,540,7850,9760$
6107,6139,6170,6101=6101,6107,6139,6170$
767,7607,7618,769=767,769,7607,7618$
231,220,270,214=214,220,231,270$
5831,5403,519,559=519,559,5403,5831$
5552,2669,9348,3276=2669,3276,5552,9348$
919,860,715,511=511,715,860,919$
9772,9945,996,925=925,996,9772,9945$
9058,466,660,6622=466,660,6622,9058$
232,2068,2941,2940=232,2068,2940,2941$
2255,271,235,203=203,235,271,2255$
7196,3421,1541,148=148,1541,3421,7196$
214,2765,2170,271=214,271,2170,2765$
969,966,965,960=960,965,966,969$
1803,7817,9911,2181=1803,2181,7817,9911$
922,984,9685,9969=922,984,9685,9969$
7118,557,6556,4357=557,4357,6556,7118$
5503,5585,566,5824=566,5503,5585,5824$
462,4001,5308,629=462,629,4001,5308$
7884,7832,786,7878=786,7832,7878,7884$
793,775,8471,886=775,793,886,8471$
6403,6618,617,6379=617,6379,6403,6618$
939,552,4494,913=552,913,939,4494$
2903,214,2551,2912=214,2551,2903,2912$
4825,435,421,4854=421,435,4825,4854$
5891,5878,588,5818=588,5818,5878,5891$
444,4898,4470,4376=444,4376,4470,4898$
9823,987,988,9872=987,988,9823,9872$
4952,4946,4993,494=494,4946,4952,4993$
659,6528,658,6550=658,659,6528,6550$
3382,3349,335,3323=335,3323,3349,3382$
3702,378,3739,372=372,378,3702,3739$
5773,5798,5780,571=571,5773,5780,5798$
482,573,3842,558=482,558,573,3842$
2883,827,313,4419=313,827,2883,4419$
612,521,595,876=521,595,612,876$
2467,2464,245,247=245,247,2464,2467$
9260,953,9886,934=934,953,9260,9886$
777,1593,995,550=550,777,995,1593$
1242,175,8508,3522=175,1242,3522,8508$
