a3\o4,0,1,2,3,4,5,6,7,8,9
0,20129,19736,19885,20306,20150,19845,19771,20025,20069,20199
1,20155,20139,20240,20073,20117,19938,19994,20185,20125,19989
2,19851,19963,20097,19643,20093,19928,20093,20073,19901,20062
3,20146,20200,20177,19845,19780,20039,19768,19968,20104,20130
4,19856,19888,20035,19964,19943,20111,20222,19773,19798,20054
5,20128,19907,20078,20090,20083,20028,19715,20269,20072,19988
6,19879,20100,19976,20201,19817,20068,19838,20086,19885,19711
7,20096,20116,20307,19905,19778,20006,19972,20054,19919,19707
8,20093,20052,20172,19986,20115,20043,19997,20016,19811,19854
9,19713,20140,19659,19762,19526,19943,19786,19914,19529,19697
