a3\o4,0,1,2,3,4,5,6,7,8,9
0,20173,20096,20370,20051,20154,20226,20025,19835,19991,19816
1,20064,19799,20120,20159,19804,19977,20165,19850,20055,20063
2,19818,20047,19805,20020,19965,20076,20064,20045,19849,20055
3,19909,20061,20128,20107,19997,19931,20110,20096,20106,20174
4,20060,20038,20130,20063,19861,20443,20110,20219,19905,20247
5,19814,20136,20208,20167,20113,20022,19951,19924,20207,19872
6,20015,20100,19937,20243,20100,20012,20279,19883,20342,20085
7,20209,20010,20062,20245,20242,20230,19795,20041,19965,20075
8,20097,20184,20091,19840,19976,20152,20085,20089,20217,20202
9,19886,19462,19817,19710,19704,19922,20000,19899,19788,19892
