a3\o4,0,1,2,3,4,5,6,7,8,9
0,19912,20096,19878,20088,19983,20119,19910,19888,20123,19900
1,19740,20058,20160,20167,20121,19801,19964,20279,20142,19921
2,19853,20048,20036,20064,19968,20161,20092,20078,20124,20092
3,20049,20049,20147,19975,20069,19918,19899,19733,20109,19832
4,19731,19937,19926,20069,20095,20271,20255,19847,19975,19985
5,20247,20352,19984,19935,20102,19853,20030,20036,20176,19987
6,19882,19865,19791,20115,20113,20119,20112,20014,20180,20083
7,20047,19703,19693,20061,19775,19992,20196,20118,19837,19855
8,19984,19922,19919,20382,19872,20027,20038,20057,19923,19969
9,20066,19635,19836,19889,20102,20175,19879,19768,20148,20098
