a3\o4,0,1,2,3,4,5,6,7,8,9
0,20008,20102,20086,20118,19760,20046,19924,19941,20038,20023
1,19914,20039,19960,20079,19919,20165,20010,20113,20024,19900
2,20145,19995,20060,20077,20059,19659,20262,20164,19737,19967
3,20260,20008,19900,20149,20234,20017,20087,20184,19831,19999
4,20149,20101,20069,19591,19990,20291,19846,19936,19991,19923
5,20248,20143,20097,20122,19908,20057,19957,20226,20121,20042
6,20198,20081,20106,19805,19934,19987,19656,20242,19724,20097
7,19927,20051,19817,19991,19819,20184,19931,20054,19962,20040
8,20023,19939,19941,20098,20107,19994,19934,19978,20077,20121
9,19648,19711,19855,19984,20044,20161,19513,19807,20011,19710
