a3\o4,0,1,2,3,4,5,6,7,8,9
0,20053,19947,19981,19766,19874,19953,19978,19924,19861,20028
1,20133,20265,19991,20011,19985,20067,20234,20062,19929,20082
2,19797,19940,20262,20270,19898,20182,20199,19921,19999,19637
3,20005,20070,20283,20124,19995,19815,19970,19993,20051,19996
4,20329,20028,20077,19937,20005,19870,19921,20065,20105,20182
5,20129,19907,20121,20174,19787,19994,20031,19908,19844,20103
6,20086,19969,20098,20010,19978,20024,19782,20221,20002,20074
7,19652,19841,19835,20334,19926,20283,19789,20214,19935,19889
8,20085,20035,19696,20249,20181,20181,19884,20346,19920,19961
9,19752,19744,19754,19701,19921,19719,19716,19977,19750,19780
