a3\o4,0,1,2,3,4,5,6,7,8,9
0,20133,19760,19920,19857,19837,20232,20084,19992,19920,19787
1,20156,20182,20019,19921,20187,20130,20025,20068,20055,19758
2,19903,20157,19914,19977,20138,19872,20257,20110,19978,20007
3,20270,19678,19993,19869,20045,19541,20200,19918,20174,20289
4,20184,20369,20070,19958,19928,20052,20127,19948,19997,19965
5,19727,19739,19768,19796,19839,20004,19880,20113,19922,20058
6,20187,19974,19895,20491,20017,20085,20116,20100,20031,19878
7,20169,20077,20128,20077,20034,20017,20151,19855,20328,20120
8,20000,20089,20040,19912,19952,19997,19862,20260,19920,20031
9,19527,19765,19955,19556,19632,19949,19917,19525,19496,19858
