a3\o4,0,1,2,3,4,5,6,7,8,9
0,19990,20078,20116,20003,19883,19865,19952,20019,19810,20151
1,19867,19860,19956,20012,20214,20024,20178,19907,19929,19960
2,20027,19815,20058,20004,19991,20103,19887,19891,19974,19969
3,20275,20238,19891,20139,19972,20055,20000,20205,19916,20194
4,20235,20245,19988,20039,19934,20002,20139,20154,20251,19884
5,20055,19866,20091,20194,20007,20008,20142,20086,20060,19950
6,19900,20093,19956,20166,19927,20083,20016,19745,20132,19955
7,19917,20000,19940,20171,19940,20167,20327,19776,20136,19963
8,19844,20016,20010,19998,20047,20207,20404,20202,20075,20177
9,20036,19931,19738,19912,19648,19785,19798,19877,19729,19818
