a3\o4,0,1,2,3,4,5,6,7,8,9
0,20026,19941,20018,20094,20123,20041,20025,19761,19916,19970
1,20075,20033,20091,19994,20151,19891,19910,19831,19900,20055
2,20107,19956,20127,20059,19940,20148,20170,19850,20025,19949
3,20136,19885,20116,19718,19788,20276,20133,19990,19934,20154
4,19957,19865,20264,19937,19865,20056,20234,19958,19828,20051
5,19982,20222,20256,20066,19782,19970,20049,20287,20373,20025
6,20141,19926,20118,19913,19836,20020,20129,19933,20128,19908
7,20047,19868,19889,20074,20096,19681,20120,19983,19900,20043
8,20003,20054,20134,20087,20010,20063,20205,20089,19836,20119
9,19517,19816,19837,19681,19819,19593,19944,20023,19788,19635
